"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
screening_id,background_information,,text,"Screening ID",,,,,,,,,,,,,
provider_id,background_information,,text,"Provider ID",,,,,,,,y,LV,,,,
facility_name,background_information,,dropdown,"Health Facility","TZN01, Mbagala Rangi Tatu Hospital | TZN02, Mkoani Health Center | KYA01, Njiru Health Center | KYA02, Mathare North Health Center",,autocomplete,,,,,y,LV,,,,
role,background_information,,radio,"Respondent/Provider role","1, Midwife | 2, Nurse | 3, Nurse assistant | 4, Community health worker | 5, Medical officer | 6, Clinical officer | 7, Laboratory technician | 8, Pediatrician | 9, Other",,,,,,,y,LV,,,,
role_other,background_information,,text,"Other, specify:",,,,,,,[role]=9,,LV,,,,
sex,background_information,,radio,Sex,"0, Male | 1, Female",,,,,,,,LV,,,,
education,background_information,,radio,"Highest level of education of HCP","1, Diploma | 2, Bachelors or equivalent | 3, Masters or equivalent | 4, Other | 999, Prefer not to answer",,,,,,,y,LV,,,,
education_other,background_information,,text,"Other, specify:",,,,,,,[education]=4,,LV,,,,
years_experience,background_information,,text,"Years of experience in your current role",,,number,0,,,,,LV,,,,
radg_use,background_information,,radio,"How many times have you used the RadG device?","0, None | 1, 1 to 10 | 2, 11 to 50 | 3, 51 to 100 | 4, 100+",,,,,,,y,LV,,,,
visit_date,identification_and_sick_child_screeningenrollment,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Care provider is performing consultation according to routine practice while research assistant is recording data.</span></p> <p>This data collection tool is not intended to guide the clinical consultation.</p></div>",text,"Facility visit date",,,date_dmy,,today,,,y,LV,,,,
birth_year,identification_and_sick_child_screeningenrollment,,text,"Birth year of patient",,,integer,,,,,y,,,,,
birth_month,identification_and_sick_child_screeningenrollment,,dropdown,"Birth month of patient","1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December | 99, Unknown",,autocomplete,,,,,y,LV,,,,
age_eligible,identification_and_sick_child_screeningenrollment,,yesno,"Is the patient less than 5 years old?",,,,,,,,y,,,,,
visit_reason,identification_and_sick_child_screeningenrollment,,checkbox,"Reason for visit to clinic","1, Illness | 2, Trauma (burns, injuries, wounds) | 3, Immunization | 4, Routine monitoring (growth, chronic conditions) | 5, Admission to inpatient/wellness unit of the facility",,,,,,,y,LV,,,,
cg_relationship,identification_and_sick_child_screeningenrollment,,radio,"Relationship of the caregiver to the sick child","1, Mother and father | 2, Mother and grand-mother | 3, Mother only | 4, Father only | 5, Grandmother only | 6, Grandfather only | 7, Sibling | 8, Other family member | 9, Community member | 10, Other | 999, Declined",,,,,,,y,LV,,,,
